<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<CLAVRG>,,,,,,,
SBERP,D,20101224,0,78.44,78.49,77.28,77.3,12478852,0.701565834,,,,,,,
SBERP,D,20101227,0,77.34,77.47,76.25,76.48,12627625,0.694123609,,,,,,,
SBERP,D,20101228,0,76.54,76.78,75.64,75.89,19960328,0.688768837,,,,,,,
SBERP,D,20101229,0,76.2,76.26,75.05,75.71,15292951,0.687135178,,,,,,,
SBERP,D,20101230,0,75.79,75.85,74.75,75.1,13447763,0.681598889,,,,,,,
SBERP,D,20110111,0,75.48,76.19,75,75.89,16449394,0.688768837,,,,,,,
SBERP,D,20110112,0,76.35,77.14,75.87,77.1,35274924,0.699750657,,,,,,,
SBERP,D,20110113,0,77.23,77.48,75.8,75.94,44463704,0.689222631,,,,,,,
SBERP,D,20110114,0,76,76.4,75.18,75.65,23113553,0.686590625,,,,,,,
SBERP,D,20110117,0,75.65,76.75,75.43,76.57,23363287,0.694940438,,,,,,,
SBERP,D,20110118,0,76.62,77.25,75.12,75.73,41872975,0.687316696,,,,,,,
SBERP,D,20110119,0,76.1,76.31,74.55,74.6,36333098,0.677060947,,,,,,,
SBERP,D,20110120,0,74.09,74.1,72.6,72.85,37400262,0.66117815,,,,,,,
SBERP,D,20110121,0,73.05,73.32,71.76,72.43,62833065,0.657366279,,,,,,,
SBERP,D,20110124,0,72.59,72.79,70.16,71.37,48807576,0.647745842,,,,,,,
SBERP,D,20110125,0,71.83,72.47,71.12,72.02,42175716,0.653645166,,,,,,,
SBERP,D,20110126,0,72.42,73.61,72.21,73.08,57895395,0.663265603,,,,,,,
SBERP,D,20110127,0,73.42,73.6,72.06,72.35,54987396,0.656640208,,,,,,,
SBERP,D,20110128,0,72.16,72.48,71.17,71.26,27248664,0.646747494,,,,,,,
SBERP,D,20110131,0,70.86,72.08,69.86,71.35,42386138,0.647564324,,,,,,,
SBERP,D,20110201,0,71.92,72.23,70.62,71.98,63537179,0.653282131,,,,,,,
SBERP,D,20110202,0,72.39,72.99,70.45,70.89,54322681,0.643389417,,,,,,,
SBERP,D,20110203,0,71,71.42,69.83,70.79,33100472,0.642481829,,,,,,,
SBERP,D,20110204,0,71.05,71.5,70.47,71.41,26412690,0.648108877,,,,,,,
